crm_id,crm_county,crm_type,crm_desc,crm_location
1,"winona county",ARSON,"male set a store on fire","winona minnesota"
2,"hennepin county","ARMED ROBBERY","Woman robbed money from store with illegal firearm","great bank (minneapolis, MN)"
3,"winona county","Child Abuse","Father was abusing his children","Winona Minnesota"
4,"winona county",Theft,"Teenage female caught stealing multiple earings","Target (Winona, MN)"
5,"wabasha county",DUI,"Teenage male was drinking and driving ","Wabasha Minnesota "
6,"wabasha county",Stalking,"Elderly man caught multiple times following children home from school","Wabasha Minnesota "
7,"houston county",Vandalism,"Teen found spraypainting the side of a building","Houston Minnesota "
8,"winona county",Rape,"Young man sexually assulted a peer","Winona Minnesota "
9,"winona county","Drug Trfficking","Young man was caught selling illegal narcotics","Winona Minnesota "
10,"winona county","Child Abandonment","Mother left her 5 year old child alone for 3 days","Winona Minnesota "
11,"olmsted county","Murder: First-degree","Man murdered another man","Olmsted Minnesota "
12,"olmsted county",Arson,"Man set his neighbors house on fire during dispute","Olmsted Minnesota "
13,"winona county",Cyberbullyig,"teen girl was cyberbulling peers on social media","Winona Minnesota "
14,"winona county","Aggravated Assult","Man got into a brawl after he left the bar","Winona Minnesota "
15,"houston county",Kidnapping,"Man kidnapped young girl","Houston Minnesota "
16,"dakota county","Public intoxication","Woman was drinking liquor and was very drunk at a public park","Apple Valley Minnesota "
